name,address,pincode,lat,lon,fee_type,vaccine_fees,date,available_capacity_dose1,available_capacity_dose2,min_age_limit,vaccine,slots
VICTORIA,VICTORIA HOSPITAL CAMPUS K R MARKET,560002,12,77,Free,free,04-06-2021,21,23,45,COVISHIELD,09:00AM-10:00AM|10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM
P G Halli UPHC,Near Jataka Stand Palace Guttahalli,560003,12,77,Free,free,04-06-2021,0,3,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
Dattatreya Temple Ward 77,BBMP Ward Office Dattatreya Ward-ward No-775th Cross Near Bigbazar MalleshwaramBengaluru-560003,560003,12,77,Free,free,04-06-2021,0,3,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
K C Gen Hospital,Malleshwarm Circle Bengaluru,560003,12,77,Free,free,04-06-2021,45,24,45,COVISHIELD,10:00AM-11:00AM|11:00AM-12:00PM|12:00PM-01:00PM|01:00PM-04:00PM
WARD NO 79 BBMP GOVT SCHOOL,JEEVANAHALLI,560005,0,0,Free,free,03-06-2021,62,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD NO 79 BBMP GOVT SCHOOL,JEEVANAHALLI,560005,0,0,Free,free,05-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD NO 79 BBMP GOVT SCHOOL,JEEVANAHALLI,560005,0,0,Free,free,06-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 61 BBMP College Campus,BBMP Tailoring Institute Williams Tour S.K Garden,560005,13,77,Free,free,03-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 61 BBMP College Campus,BBMP Tailoring Institute Williams Tour S.K Garden,560005,13,77,Free,free,04-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 61 BBMP College Campus,BBMP Tailoring Institute Williams Tour S.K Garden,560005,13,77,Free,free,05-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 61 BBMP College Campus,BBMP Tailoring Institute Williams Tour S.K Garden,560005,13,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 78 BBMP Hihg School,BBMP High School Clewland Tounrobertson Roadbanglore,560005,13,77,Free,free,03-06-2021,63,29,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 78 BBMP Hihg School,BBMP High School Clewland Tounrobertson Roadbanglore,560005,13,77,Free,free,04-06-2021,67,29,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 78 BBMP Hihg School,BBMP High School Clewland Tounrobertson Roadbanglore,560005,13,77,Free,free,05-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 78 BBMP Hihg School,BBMP High School Clewland Tounrobertson Roadbanglore,560005,13,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 28GOVT HIGH PRIMARY SCHOL,PS PALYA KAMMANA HALLI,560005,13,77,Free,free,04-06-2021,68,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 28GOVT HIGH PRIMARY SCHOL,PS PALYA KAMMANA HALLI,560005,13,77,Free,free,05-06-2021,69,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD 28GOVT HIGH PRIMARY SCHOL,PS PALYA KAMMANA HALLI,560005,13,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD NO 59 WARD OFFICE,PARK ROAD MARUTHI SEVA NAGAR,560005,12,77,Free,free,04-06-2021,70,28,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD NO 59 WARD OFFICE,PARK ROAD MARUTHI SEVA NAGAR,560005,12,77,Free,free,05-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD NO 59 WARD OFFICE,PARK ROAD MARUTHI SEVA NAGAR,560005,12,77,Free,free,06-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
WARD NO 46 DAPCO BUILDING,M R Palya J C Nagaraa MAIN ROAD BECIDE GANESH TEMPLE,560006,13,77,Free,free,04-06-2021,70,30,45,COVISHIELD,09:00AM-11:00AM|11:00AM-01:00PM|01:00PM-03:00PM|03:00PM-06:00PM
